Id,IdList1,Date,Operator,DescriptionWork,SematId,UserId,BreakFastTime,LunchTime,TotalTime,SpentTime,DateStart,DateEnd
41496,2613,2026-07-30,8051,تخلیه استاتور با همکاری اقای مستخدمی ,69,29,00:00:00.000000,00:00:00.000000,02:15:00.000000,02:15:00.000000,07:45:00.000000,10:00:00.000000
41497,2667,2026-07-30,8051,دمونتاژ الکتروموتور ,69,29,00:30:00.000000,00:00:00.000000,03:15:00.000000,02:45:00.000000,10:00:00.000000,13:15:00.000000
41498,2668,2026-07-30,8051,شستشوی روتور ,69,29,00:00:00.000000,00:00:00.000000,00:55:00.000000,00:55:00.000000,13:15:00.000000,14:10:00.000000
41499,2667,2026-08-01,8051,تخلیه الکتروموتور ,69,29,00:30:00.000000,00:30:00.000000,07:00:00.000000,06:00:00.000000,09:00:00.000000,16:00:00.000000
41500,2650,2026-08-01,8051,مونتاژ الکتروموتور,69,29,00:00:00.000000,00:00:00.000000,01:30:00.000000,01:30:00.000000,16:00:00.000000,17:30:00.000000
41501,2655,2026-08-03,2029,پیچیدن نوار پنبه ای 15 عدد و باز کردن 6 عدد و پلیسه گیری و رفع اتصال 1.5 عدد ,69,29,00:30:00.000000,00:30:00.000000,09:00:00.000000,08:00:00.000000,07:00:00.000000,16:00:00.000000
41502,2655,2026-08-03,2031,برش عایق و عایق بندی دو سر شفت ارمیچر و همکاری با اقای گرزین در انیل کردن سیم ,69,29,00:00:00.000000,00:00:00.000000,02:50:00.000000,02:50:00.000000,13:30:00.000000,16:20:00.000000
41503,2613,2026-08-03,2033,تمیز کاری پوسته و هسته و گرفتن تست فوکو,69,29,00:30:00.000000,00:30:00.000000,09:00:00.000000,08:00:00.000000,08:30:00.000000,17:30:00.000000
41504,2666,2026-08-03,2034,پرس کردن کابلها و بارگیری الکتروموتور dc,69,29,00:30:00.000000,00:00:00.000000,04:40:00.000000,04:10:00.000000,09:00:00.000000,13:40:00.000000
41505,2656,2026-08-03,2034,"\vs ;,\gdk' ",69,29,00:00:00.000000,00:30:00.000000,03:20:00.000000,02:50:00.000000,13:40:00.000000,17:00:00.000000
41506,2665,2026-08-03,2037,جوشکاری چرخ واگن ,69,29,00:00:00.000000,00:30:00.000000,03:30:00.000000,03:00:00.000000,13:30:00.000000,17:00:00.000000
41507,2581,2026-08-03,2039,اموزش عایق بندی به خانم مرادی و بریدن اضافی سر سیم و فلاپی زدن و پلیسه گیری ,69,29,00:30:00.000000,00:00:00.000000,03:10:00.000000,02:40:00.000000,07:50:00.000000,11:00:00.000000
41508,2586,2026-08-03,2039,اصلاح فرم 17 عدد کویل و باز کردن نخ پنبه 15 عدد ,69,29,00:00:00.000000,00:00:00.000000,04:15:00.000000,04:15:00.000000,11:10:00.000000,15:25:00.000000
41509,2631,2026-08-03,3047,اصلاح فرم کویل ها جای گذاری گوه هتی دماغه و مابین کوبل ها گروه بندی کویل ها اماده سازی برای جوشکاری ,69,29,00:30:00.000000,00:30:00.000000,09:15:00.000000,08:15:00.000000,07:45:00.000000,17:00:00.000000
41510,2581,2026-08-03,2041,عایق بندی گروه بندی الستوم ,69,29,00:30:00.000000,00:00:00.000000,06:45:00.000000,06:15:00.000000,07:45:00.000000,14:30:00.000000
41511,2586,2026-08-03,2041,پلیسه گیری نیمه کاره ,69,29,00:00:00.000000,00:00:00.000000,00:40:00.000000,00:40:00.000000,14:35:00.000000,15:15:00.000000
41512,2586,2026-08-03,2043,پلیسه گیری و رفع اتصال کویل الستوم 1 عدد ,69,29,00:30:00.000000,00:00:00.000000,04:25:00.000000,03:55:00.000000,07:50:00.000000,12:15:00.000000
41513,2655,2026-08-03,2043,ترمیم اسیب دیدگی کپتون فرم دهی و پلیسه گیری و عایق بندی  ,69,29,00:00:00.000000,00:30:00.000000,05:00:00.000000,04:30:00.000000,12:30:00.000000,17:30:00.000000
41514,2657,2026-08-03,2044,تراشکاری درپوش الکتروموتور ,69,29,00:00:00.000000,00:30:00.000000,04:30:00.000000,04:00:00.000000,13:00:00.000000,17:30:00.000000
41515,2656,2026-08-03,7050,گرم و سرد کردن شفت ,69,29,00:30:00.000000,00:00:00.000000,01:35:00.000000,01:05:00.000000,09:25:00.000000,11:00:00.000000
41516,2645,2026-08-03,7050,سنگ زدن و پرداختکاری گلدانی ,69,29,00:00:00.000000,00:00:00.000000,01:20:00.000000,01:20:00.000000,13:40:00.000000,15:00:00.000000
41517,2647,2026-08-03,2030,تمیز کاری پوسته رنگ امیزی پوسته مگنت جوشکاری تخته کلم عایق بندی موف کابل های خروجی عایق بندی و جای گذاری بوبین ها ,69,29,00:30:00.000000,00:30:00.000000,10:15:00.000000,09:15:00.000000,07:45:00.000000,18:00:00.000000
41518,2586,2026-08-03,8053,جوشکاری 15 عدد کویل و فلاپی زدن ,69,29,00:30:00.000000,00:00:00.000000,07:40:00.000000,07:10:00.000000,07:50:00.000000,15:30:00.000000
41519,2582,2026-08-03,8053,پوست کنی 4 عدد ,69,29,00:00:00.000000,00:00:00.000000,01:30:00.000000,01:30:00.000000,16:00:00.000000,17:30:00.000000
41520,2671,2026-07-30,7050,دمونتاژ الکتروموتور با همکاری اقای رحمت الهی ,69,29,00:00:00.000000,00:00:00.000000,01:00:00.000000,01:00:00.000000,13:00:00.000000,14:00:00.000000
41521,2586,2026-08-01,8052,پوست گیری کویل 3 عدد نوار پیچی 1 عدد باز پیچی 3 عدد ,69,29,00:30:00.000000,00:00:00.000000,06:00:00.000000,05:30:00.000000,08:00:00.000000,14:00:00.000000
41522,2586,2026-08-05,2029,پلیسه گیری و رفع اتصال کویل 3.5 عدد کویل و عایق بندی 1 عدد کویل و 2 عدد سر سیم ,69,29,00:30:00.000000,00:00:00.000000,07:10:00.000000,06:40:00.000000,08:20:00.000000,15:30:00.000000
41523,2611,2026-08-05,2031,سوزاندن عایق سیم صاف کردن سیم برش زدن سیم و جا گذاری داخل روتور ,69,29,00:00:00.000000,00:30:00.000000,04:30:00.000000,04:00:00.000000,13:00:00.000000,17:30:00.000000
41524,2583,2026-08-05,2033,تمیز کاری پوسته و رزین کاری دوباره و رنگ امیزی هسته و پوسته و چرخاندن الستوم ,69,29,00:30:00.000000,00:30:00.000000,09:40:00.000000,08:40:00.000000,07:50:00.000000,17:30:00.000000
41525,2668,2026-08-05,2033,تمیز کاری شیار های و سوزاندن هسته استاتور ,69,29,00:00:00.000000,00:00:00.000000,03:30:00.000000,03:30:00.000000,12:00:00.000000,15:30:00.000000
41526,2670,2026-08-05,2034,دمونتاژ الکتروموتور ,69,29,00:00:00.000000,00:00:00.000000,01:30:00.000000,01:30:00.000000,12:00:00.000000,13:30:00.000000
41527,2672,2026-08-05,2034,دمونتاژ الکتروموتور ,69,29,00:00:00.000000,00:00:00.000000,01:30:00.000000,01:30:00.000000,13:30:00.000000,15:00:00.000000
41528,2673,2026-08-05,2034,دمونتاژ الکتروموتور ,69,29,00:00:00.000000,00:00:00.000000,03:30:00.000000,03:30:00.000000,13:30:00.000000,17:00:00.000000
