ProjectCode,NameProject,SerialNumber,GhabzExit,FactorNumber,FactorType3,KarshenasiAvalie,ReceiverProject,Description,Id,Employer,DateKhoroj,DateVorod,FileDate,DeliveryDate,DateMovaqatExit,SematId,UserId,DateSabtPoroje,DateNiazMoshtari,IsPoshe,FactorType
1256,فن 60W 0/35A 220V,,,,,سیم پیچی,,,257,40,2019-06-20 00:00:00.000,2019-05-16 00:00:00.000,,,,,,,,False,
1257,فن 60W 0/35A 220V,,,,,سیم پیچی,,,258,40,2019-06-20 00:00:00.000,2019-05-16 00:00:00.000,,,,,,,,False,
1258,فن 60W 0/35A 220V,,,,,سیم پیچی,,,259,40,2019-06-20 00:00:00.000,2019-05-16 00:00:00.000,,,,,,,,False,
1259,فن 60W 0/35A 220V,,,,,سیم پیچی,,,260,40,2019-06-20 00:00:00.000,2019-05-16 00:00:00.000,,,,,,,,False,
1260,فن 60W 0/35A 220V,,,,,سیم پیچی,,,261,40,2019-06-20 00:00:00.000,2019-05-16 00:00:00.000,,,,,,,,False,
1261,فن 60W 0/35A 220V,,,,,سیم پیچی,,,262,40,2019-06-20 00:00:00.000,2019-05-16 00:00:00.000,,,,,,,,False,
1262,الکتروموتور DC,,,,,سیم پیچی,,,263,25,2019-06-30 00:00:00.000,2019-05-18 00:00:00.000,,,,,,,,False,
1263,آرمیچر تردمیل,,,,,سیم پیچی,,,264,11,2019-07-01 00:00:00.000,2019-05-19 00:00:00.000,,,,,,,,False,
1264,آرمیچر DC,,,,,سیم پیچی,,,265,41,2019-07-11 00:00:00.000,2019-05-23 00:00:00.000,,,,,,,,False,
1265,الکتروموتور 630KW DC,,,,,اورهال,,,266,42,2019-06-03 00:00:00.000,2019-05-29 00:00:00.000,,,,,,,,False,
1266,استاتور 165KW,,,,,سیم پیچی,,,267,24,2019-08-01 00:00:00.000,2019-06-03 00:00:00.000,,,,106,28,,,False,0
1267,الکتروموتور 40KW DC,,,,,اورهال,,,268,43,2019-06-30 00:00:00.000,2019-06-16 00:00:00.000,,,,,,,,False,
1268,موتور جوش ,,,,,اورهال,,,269,44,2019-06-26 00:00:00.000,2019-06-17 00:00:00.000,,,,,,,,False,
1269,موتور 200KW اکسیژن,,,,,اورهال,,,270,33,2019-07-06 00:00:00.000,2019-06-22 00:00:00.000,,,,,,,,False,
1270,موتور 200KW اکسیژن,,,,,اورهال,,,271,33,2021-07-17 00:00:00.000,2019-06-22 00:00:00.000,,,,,,,,False,
1271,ژنراتور 20KW,211917,,,,سیم پیچی,,,272,29,2019-08-16 00:00:00.000,2019-06-27 00:00:00.000,,,,106,28,,,False,0
1272,ژنراتور 20KW,211182,,,,سیم پیچی,,,273,29,2019-08-16 00:00:00.000,2019-06-27 00:00:00.000,,,,106,28,,,False,0
1273,ژنراتور 20KW,211372,,,,سیم پیچی,,,274,29,2019-08-16 00:00:00.000,2019-06-27 00:00:00.000,,,,106,28,,,False,0
1274,الکتروموتور 22KW,,,,,سیم پیچی,,,275,45,2019-07-03 00:00:00.000,2019-06-29 00:00:00.000,,,,,,,,False,
1275,ژنراتور 18KW,212051,,,,سیم پیچی,,,276,29,2019-08-16 00:00:00.000,2019-06-30 00:00:00.000,,,,106,28,,,False,0
1276,ژنراتور 20KW,211297,,,,سیم پیچی,,,277,29,2019-08-16 00:00:00.000,2019-06-30 00:00:00.000,,,,106,28,,,False,0
1277,ژنراتور 18KW,212026,,,,سیم پیچی,,,278,29,2019-08-16 00:00:00.000,2019-06-30 00:00:00.000,,,,106,28,,,False,0
1278,ژنراتور 20KW,211215,,,,سیم پیچی,,,279,29,2019-08-16 00:00:00.000,2019-06-30 00:00:00.000,,,,106,28,,,False,0
1279,ژنراتور 20KW,211375,,,,سیم پیچی,,,280,29,2019-08-16 00:00:00.000,2019-06-30 00:00:00.000,,,,106,28,,,False,0
1280,ژنراتور 20KW,211129,,,,سیم پیچی,,,281,29,2019-08-16 00:00:00.000,2019-06-30 00:00:00.000,,,,106,28,,,False,0
1281,ژنراتور 20KW,211551,,,,سیم پیچی,,,282,29,2019-08-16 00:00:00.000,2019-06-30 00:00:00.000,,,,106,28,,,False,0
1282,ژنراتور 20KW,211596,,,,سیم پیچی,,,283,29,2019-08-16 00:00:00.000,2019-07-02 00:00:00.000,,,,106,28,,,False,0
1310,ژنراتور 18KW,,,,,سیم پیچی,,,311,29,2019-08-16 00:00:00.000,2019-07-22 00:00:00.000,,,,,,,,False,
