Id,Date,Operator,DescriptionWork,DateStart,DateEnd,BreakFastTime,LunchTime,TotalTime,SpentTime,IdList1,SematId,UserId
11,2025-12-08,2043,پلیسه گیری کویل الستوم 2 عدد,14:30:00.000000,17:00:00.000000,00:00:00.000000,00:30:00.000000,02:30:00.000000,02:00:00.000000,1569,1118,2028
12,2025-12-08,2043,تا کردن  عایق بازو 12 عدد,17:00:00.000000,17:30:00.000000,00:00:00.000000,00:00:00.000000,00:30:00.000000,00:30:00.000000,1569,1118,2028
13,2025-12-08,2041,پوست کندن کویل 6 عدد,08:55:00.000000,14:30:00.000000,00:30:00.000000,00:00:00.000000,05:35:00.000000,05:05:00.000000,1569,1118,2028
14,2025-12-08,2041,پلیسه گیری 1 عدد,17:00:00.000000,17:40:00.000000,00:00:00.000000,00:00:00.000000,00:40:00.000000,00:40:00.000000,1569,1118,2028
15,2025-12-08,2038,جوشکاری رشته سیم های اب شده و سرسیم کویل جوشکاری شده هرکویل 2 عدد سرسیم تعداد کویل 17 عدد,07:35:00.000000,17:30:00.000000,00:30:00.000000,00:30:00.000000,09:55:00.000000,08:55:00.000000,1569,1118,2028
16,2025-12-08,2034,کمک به اقای رحمت الهی جهت صاف کردن پوسته اکسیژن,16:30:00.000000,17:30:00.000000,00:00:00.000000,00:00:00.000000,01:00:00.000000,01:00:00.000000,1551,1118,2028
17,2025-12-08,2031,سمباده کاری بدنه و قطعات الکتروموتور معدن- رنگ امیزی بدنه و قطعات ,07:40:00.000000,13:00:00.000000,00:30:00.000000,00:00:00.000000,05:20:00.000000,04:50:00.000000,1571,1118,2028
18,2025-12-08,2039,پوست گیری 5 عدد ,13:15:00.000000,15:10:00.000000,00:30:00.000000,00:00:00.000000,01:55:00.000000,01:25:00.000000,1569,1118,2028
19,2025-12-08,2039,پلیسه گیری 2 عدد,15:20:00.000000,17:20:00.000000,00:00:00.000000,00:30:00.000000,02:00:00.000000,01:30:00.000000,1569,1118,2028
1002,2025-12-11,2044,,07:38:00.000000,18:04:00.000000,00:30:00.000000,00:30:00.000000,10:26:00.000000,09:26:00.000000,1573,106,28
2002,2025-12-04,2039,شستشو استاتور با بنزین ,12:45:00.000000,14:00:00.000000,00:00:00.000000,00:00:00.000000,01:15:00.000000,01:15:00.000000,1558,69,29
2003,2025-12-14,2029,پلیسه گیری و رفع اتصال 1.5 عدد ,07:30:00.000000,09:00:00.000000,00:00:00.000000,00:00:00.000000,01:30:00.000000,01:30:00.000000,1569,69,29
2004,2025-12-09,2031,رفع اتصال ارمیچر ,07:00:00.000000,08:15:00.000000,00:00:00.000000,00:00:00.000000,01:15:00.000000,01:15:00.000000,1571,69,29
2005,2025-12-14,2031,ساخت پایه موتور و عایق بندی ,16:00:00.000000,17:30:00.000000,00:00:00.000000,00:00:00.000000,01:30:00.000000,01:30:00.000000,1572,69,29
2006,2025-12-14,2035,در اوردن عایق های شیار و خم زدن عایق ها و جای گذاری و عایق کردن رینگ ها و گرفتن سر سیم جهت پیچیدن کلاف ,09:00:00.000000,13:30:00.000000,00:30:00.000000,00:00:00.000000,04:30:00.000000,04:00:00.000000,1561,69,29
2007,2025-12-14,2038,جوشکاری رشته سیمهای اب شده و تعویض سر سیم 12 عدد ,07:35:00.000000,14:00:00.000000,00:00:00.000000,00:00:00.000000,06:25:00.000000,06:25:00.000000,1569,69,29
2008,2025-12-14,2039,تمیز کاری و چرخاندن و سوزاندن نصف شیار ها ,07:40:00.000000,12:30:00.000000,00:30:00.000000,00:00:00.000000,04:50:00.000000,04:20:00.000000,1569,69,29
2009,2025-12-14,2040,بالا دادن بافت و تخلیه کامل و در اوردن رینگ و فرک دهی کویل ها و جابجایی به داخل کوره ,10:30:00.000000,17:30:00.000000,00:00:00.000000,00:30:00.000000,07:00:00.000000,06:30:00.000000,1564,69,29
2010,2025-12-14,2042,جابجایی الستوم ,08:00:00.000000,10:00:00.000000,00:00:00.000000,00:00:00.000000,02:00:00.000000,02:00:00.000000,1564,69,29
2011,2025-12-14,2042,تخلیه کامل الستوم ,10:30:00.000000,17:30:00.000000,00:00:00.000000,00:30:00.000000,07:00:00.000000,06:30:00.000000,1564,69,29
2012,2025-12-09,2045,تکمیل پلیسه گیری نیمه کاره و پلیسه گیری ورفع اتصال 1.5 عدد ,07:45:00.000000,17:30:00.000000,00:30:00.000000,00:30:00.000000,09:45:00.000000,08:45:00.000000,1569,69,29
2013,2025-12-09,2044,قلاویز کاری کامل پوسته ,07:30:00.000000,08:30:00.000000,00:00:00.000000,00:00:00.000000,01:00:00.000000,01:00:00.000000,1562,69,29
2014,2025-12-09,2044,قلاویز کاری کامل پوسته ,08:30:00.000000,09:30:00.000000,00:00:00.000000,00:00:00.000000,01:00:00.000000,01:00:00.000000,1563,69,29
2015,2025-12-09,2044,قلاویز کاری کامل پوسته ,10:30:00.000000,11:30:00.000000,00:00:00.000000,00:00:00.000000,01:00:00.000000,01:00:00.000000,1565,69,29
2016,2025-12-09,2044,قلاویز کگاری کامل پوسته,11:30:00.000000,12:30:00.000000,00:00:00.000000,00:00:00.000000,01:00:00.000000,01:00:00.000000,1566,69,29
